BookingReference,CustomerID,BookingDate,Destination,ServiceType,TripType,NumberOfTravelers,Nights,BookingChannel,BookingAmount,Status
BK202301049951,TRVL000400,2023-01-04,"Los Angeles, USA",Complete Package,Multi-City,1,11,Travel Agent,6889.01,Confirmed
BK202301042951,TRVL000765,2023-01-04,"Santorini, Greece",Cruise,Round Trip,2,2,Travel Agent,21260.59,Confirmed
BK202301042410,TRVL000823,2023-01-04,Singapore,Flight + Hotel,One Way,1,4,Email,786.24,Confirmed
BK202301041874,TRVL000473,2023-01-04,"Sydney, Australia",Flight Only,Multi-City,2,0,Mobile App,625.98,Confirmed
BK202301041474,TRVL000039,2023-01-04,"Los Angeles, USA",Flight Only,Round Trip,2,0,Phone,1298.47,Confirmed
BK202301045449,TRVL001081,2023-01-04,"New York, USA",Complete Package,One Way,3,10,Website,11074.83,Confirmed
BK202301049235,TRVL000180,2023-01-04,"London, UK",Cruise,Multi-City,1,17,Website,4707.77,Confirmed
BK202301049170,TRVL000022,2023-01-04,"Bali, Indonesia",Flight Only,One Way,1,0,Travel Agent,1254.3,Confirmed
BK202301043274,TRVL000114,2023-01-04,"New York, USA",Cruise,Round Trip,4,9,Email,17110.87,Confirmed
BK202301044655,TRVL000002,2023-01-04,"Santorini, Greece",Hotel Only,Round Trip,2,9,Phone,478.13,Confirmed
BK202301043057,TRVL000674,2023-01-04,"Vienna, Austria",Complete Package,Multi-City,3,4,Email,15616.77,Confirmed
BK202301048393,TRVL001533,2023-01-04,"Bangkok, Thailand",Flight + Hotel,Round Trip,1,18,Phone,2575.0,Confirmed
BK202301047876,TRVL001913,2023-01-04,"Dubai, UAE",Flight + Hotel,One Way,5,2,Email,13085.62,Confirmed
BK202301041740,TRVL000306,2023-01-04,"Cancun, Mexico",Complete Package,Round Trip,4,10,Email,27982.98,Confirmed
BK202301049382,TRVL001803,2023-01-04,"Berlin, Germany",Complete Package,Round Trip,2,5,Mobile App,5424.1,Confirmed
BK202301044387,TRVL000750,2023-01-04,"Berlin, Germany",Cruise,Multi-City,1,5,Phone,7822.58,Confirmed
BK202301053601,TRVL000110,2023-01-05,Switzerland,Flight + Hotel,Multi-City,5,2,Phone,4988.68,Confirmed
BK202301059137,TRVL001624,2023-01-05,"Vienna, Austria",Flight Only,One Way,1,0,Travel Agent,553.93,Confirmed
BK202301052534,TRVL000780,2023-01-05,"Barcelona, Spain",Flight + Hotel,One Way,2,10,Phone,1327.73,Confirmed
BK202301051496,TRVL000269,2023-01-05,"Phuket, Thailand",Hotel Only,One Way,2,3,Email,287.59,Confirmed
BK202301052697,TRVL000422,2023-01-05,"Berlin, Germany",Flight + Hotel,Round Trip,1,15,Travel Agent,2755.66,Confirmed
BK202301052383,TRVL000831,2023-01-05,"Amsterdam, Netherlands",Hotel Only,One Way,2,12,Travel Agent,1364.52,Confirmed
BK202301058556,TRVL001693,2023-01-05,"Bali, Indonesia",Cruise,Round Trip,2,21,Email,15017.53,Confirmed
BK202301053904,TRVL000001,2023-01-05,"Phuket, Thailand",Cruise,Multi-City,3,8,Website,29668.25,Confirmed
BK202301053112,TRVL000083,2023-01-05,Iceland,Hotel Only,One Way,3,18,Website,1674.39,Confirmed
BK202301058912,TRVL001861,2023-01-05,"Santorini, Greece",Cruise,Round Trip,3,20,Email,37521.2,Confirmed
BK202301052753,TRVL000718,2023-01-05,"Berlin, Germany",Complete Package,Round Trip,1,16,Phone,4544.89,Confirmed
BK202301054148,TRVL001273,2023-01-05,"Dubai, UAE",Hotel Only,One Way,3,10,Phone,340.48,Confirmed
BK202301056377,TRVL000225,2023-01-05,"Dubai, UAE",Hotel Only,Round Trip,2,3,Mobile App,900.94,Confirmed
BK202301051128,TRVL000055,2023-01-05,"Vienna, Austria",Flight Only,Multi-City,2,0,Travel Agent,2552.63,Confirmed
BK202301055654,TRVL000528,2023-01-05,"Santorini, Greece",Cruise,Multi-City,1,18,Website,9377.21,Confirmed
BK202301057520,TRVL001621,2023-01-05,Maldives,Hotel Only,One Way,1,9,Email,164.02,Confirmed
BK202301053674,TRVL000639,2023-01-05,"Berlin, Germany",Flight Only,Round Trip,3,0,Mobile App,3127.37,Cancelled
BK202301059072,TRVL000606,2023-01-05,"Santorini, Greece",Complete Package,One Way,1,2,Phone,5787.85,Confirmed
BK202301055770,TRVL000498,2023-01-05,"Copenhagen, Denmark",Complete Package,One Way,2,19,Travel Agent,9719.38,Confirmed
BK202301069374,TRVL001350,2023-01-06,"Dubai, UAE",Flight + Hotel,Round Trip,2,6,Website,2532.17,Confirmed
BK202301063032,TRVL000441,2023-01-06,"Vienna, Austria",Flight Only,Round Trip,2,0,Travel Agent,927.3,Confirmed
BK202301063264,TRVL000212,2023-01-06,"Bali, Indonesia",Hotel Only,Round Trip,6,15,Phone,1403.29,Confirmed
BK202301068200,TRVL000036,2023-01-06,"Bali, Indonesia",Hotel Only,One Way,1,14,Phone,470.8,Confirmed
BK202301069807,TRVL000617,2023-01-06,"Tokyo, Japan",Complete Package,One Way,5,14,Email,34058.94,Confirmed
BK202301064696,TRVL000419,2023-01-06,"Cancun, Mexico",Flight Only,Round Trip,1,0,Travel Agent,1468.19,Confirmed
BK202301064867,TRVL000739,2023-01-06,"Dubai, UAE",Complete Package,Round Trip,3,20,Travel Agent,19511.03,Confirmed
BK202301069020,TRVL000155,2023-01-06,"Copenhagen, Denmark",Complete Package,One Way,1,10,Travel Agent,6292.5,Confirmed
BK202301062519,TRVL001373,2023-01-06,"Barcelona, Spain",Hotel Only,Multi-City,1,20,Travel Agent,758.51,Confirmed
BK202301068992,TRVL000677,2023-01-06,"Copenhagen, Denmark",Hotel Only,Multi-City,3,7,Phone,1274.11,Confirmed
BK202301061772,TRVL000552,2023-01-06,"Phuket, Thailand",Hotel Only,Round Trip,2,2,Website,916.94,Confirmed
BK202301063118,TRVL000722,2023-01-06,"Bali, Indonesia",Cruise,Round Trip,5,11,Mobile App,54522.24,Confirmed
BK202301068204,TRVL000769,2023-01-06,"Tokyo, Japan",Complete Package,Multi-City,2,12,Mobile App,7593.77,Confirmed
BK202301067024,TRVL001558,2023-01-06,"Prague, Czech Republic",Cruise,One Way,4,15,Phone,18054.17,Confirmed
BK202301068901,TRVL000465,2023-01-06,"Phuket, Thailand",Hotel Only,Multi-City,3,10,Mobile App,2112.59,Confirmed
BK202301062425,TRVL000171,2023-01-06,"Miami, USA",Flight Only,Round Trip,1,0,Phone,463.19,Confirmed
BK202301065414,TRVL000202,2023-01-06,"Los Angeles, USA",Complete Package,Round Trip,2,20,Travel Agent,7623.31,Confirmed
BK202301064572,TRVL000591,2023-01-06,"Vienna, Austria",Flight + Hotel,One Way,1,7,Phone,1500.48,Confirmed
BK202301065285,TRVL000237,2023-01-06,"Phuket, Thailand",Complete Package,Round Trip,4,5,Phone,21215.06,Confirmed
BK202301063965,TRVL000073,2023-01-06,"Barcelona, Spain",Cruise,Multi-City,2,20,Website,5911.86,Confirmed
BK202301074007,TRVL000348,2023-01-07,"Vienna, Austria",Complete Package,One Way,5,3,Email,15559.95,Confirmed
BK202301072983,TRVL001048,2023-01-07,"Istanbul, Turkey",Hotel Only,Round Trip,2,9,Email,306.51,Confirmed
BK202301073465,TRVL000677,2023-01-07,"Miami, USA",Flight Only,Round Trip,3,0,Phone,599.55,Cancelled
BK202301071340,TRVL000493,2023-01-07,"Paris, France",Flight Only,Round Trip,3,0,Website,1347.26,Confirmed
BK202301072325,TRVL000513,2023-01-07,"Tokyo, Japan",Cruise,One Way,1,18,Phone,11872.56,Confirmed
BK202301075612,TRVL000216,2023-01-07,"Berlin, Germany",Flight + Hotel,Round Trip,3,18,Phone,6891.05,Confirmed
BK202301073162,TRVL000577,2023-01-07,"Bali, Indonesia",Complete Package,One Way,1,2,Phone,4782.92,Confirmed
BK202301072829,TRVL000332,2023-01-07,"Bali, Indonesia",Cruise,Round Trip,3,11,Email,25991.8,Confirmed
BK202301072318,TRVL000105,2023-01-07,"Santorini, Greece",Flight Only,One Way,2,0,Email,2761.59,Confirmed
BK202301075398,TRVL001089,2023-01-07,Switzerland,Flight + Hotel,Multi-City,2,5,Email,3910.17,Confirmed
BK202301075760,TRVL000078,2023-01-07,Maldives,Flight + Hotel,Round Trip,1,20,Travel Agent,508.66,Cancelled
BK202301071896,TRVL000341,2023-01-07,"Prague, Czech Republic",Cruise,Multi-City,3,5,Phone,17158.55,Confirmed
BK202301079301,TRVL000178,2023-01-07,"Phuket, Thailand",Flight + Hotel,Round Trip,2,5,Email,3392.17,Confirmed
BK202301076032,TRVL000425,2023-01-07,"Cancun, Mexico",Cruise,One Way,2,17,Website,15750.52,Confirmed
BK202301076514,TRVL000711,2023-01-07,"Copenhagen, Denmark",Complete Package,Round Trip,3,14,Website,9984.03,Confirmed
BK202301072258,TRVL001779,2023-01-07,Iceland,Flight + Hotel,Multi-City,2,6,Website,1394.37,Confirmed
BK202301071477,TRVL000621,2023-01-07,"London, UK",Flight + Hotel,Round Trip,2,12,Mobile App,3041.87,Confirmed
BK202301073568,TRVL000353,2023-01-07,"London, UK",Cruise,Round Trip,2,2,Mobile App,19385.16,Confirmed
BK202301077685,TRVL000671,2023-01-07,"Copenhagen, Denmark",Complete Package,Multi-City,1,12,Website,8274.03,Confirmed
BK202301076691,TRVL000005,2023-01-07,Iceland,Cruise,One Way,1,21,Website,6989.78,Confirmed
BK202301075783,TRVL000435,2023-01-07,"Phuket, Thailand",Flight + Hotel,Round Trip,2,8,Mobile App,3654.38,Confirmed
BK202301089047,TRVL000390,2023-01-08,Iceland,Cruise,One Way,2,17,Travel Agent,4916.65,Confirmed
BK202301086175,TRVL000001,2023-01-08,"Los Angeles, USA",Cruise,One Way,2,5,Travel Agent,4336.01,Confirmed
BK202301082231,TRVL000990,2023-01-08,Maldives,Cruise,One Way,2,8,Mobile App,18984.96,Confirmed
BK202301089647,TRVL000205,2023-01-08,"Rome, Italy",Hotel Only,One Way,1,2,Website,152.38,Cancelled
BK202301089349,TRVL000003,2023-01-08,"New York, USA",Hotel Only,Multi-City,2,18,Website,1621.53,Confirmed
BK202301081118,TRVL000155,2023-01-08,Switzerland,Flight Only,Multi-City,2,0,Travel Agent,656.16,Confirmed
BK202301083467,TRVL000164,2023-01-08,"New York, USA",Complete Package,Multi-City,3,9,Travel Agent,20230.0,Confirmed
BK202301087919,TRVL000004,2023-01-08,Singapore,Flight + Hotel,Multi-City,4,13,Website,10500.38,Confirmed
BK202301089731,TRVL000587,2023-01-08,"Copenhagen, Denmark",Complete Package,One Way,3,15,Mobile App,20645.02,Confirmed
BK202301088883,TRVL000568,2023-01-08,"Rome, Italy",Flight Only,One Way,2,0,Mobile App,2964.61,Confirmed
BK202301082697,TRVL001906,2023-01-08,"London, UK",Flight Only,One Way,2,0,Email,2674.13,Confirmed
BK202301084342,TRVL000017,2023-01-08,"Phuket, Thailand",Flight + Hotel,Multi-City,1,13,Mobile App,1811.63,Confirmed
BK202301083771,TRVL001967,2023-01-08,"Santorini, Greece",Flight Only,Multi-City,2,0,Travel Agent,464.5,Confirmed
BK202301082718,TRVL001548,2023-01-08,"Los Angeles, USA",Flight Only,Round Trip,1,0,Travel Agent,1228.56,Confirmed
BK202301087349,TRVL000333,2023-01-08,"Istanbul, Turkey",Cruise,Multi-City,1,9,Phone,9564.92,Confirmed
BK202301088253,TRVL000222,2023-01-08,"New York, USA",Hotel Only,Multi-City,2,6,Mobile App,807.45,Confirmed
BK202301087798,TRVL000164,2023-01-08,"Tokyo, Japan",Complete Package,Round Trip,2,11,Email,8024.44,Confirmed
BK202301088736,TRVL000467,2023-01-08,Iceland,Complete Package,Multi-City,1,6,Travel Agent,8161.81,Confirmed
BK202301087020,TRVL001126,2023-01-08,"Barcelona, Spain",Cruise,One Way,1,5,Travel Agent,8400.38,Confirmed
BK202301087725,TRVL001215,2023-01-08,Singapore,Flight + Hotel,Multi-City,1,13,Travel Agent,1961.87,Confirmed
BK202301083448,TRVL001950,2023-01-08,"Cancun, Mexico",Flight Only,Multi-City,2,0,Mobile App,1906.35,Confirmed
BK202301087262,TRVL000075,2023-01-08,Singapore,Complete Package,Round Trip,3,8,Email,13816.23,Confirmed
BK202301084776,TRVL000380,2023-01-08,"Phuket, Thailand",Cruise,Round Trip,1,10,Website,9575.16,Confirmed
BK202301087597,TRVL000991,2023-01-08,"Rome, Italy",Hotel Only,One Way,3,2,Email,660.74,Confirmed
BK202301089689,TRVL000303,2023-01-08,"Tokyo, Japan",Cruise,One Way,1,7,Email,4463.92,Confirmed
BK202301089154,TRVL000962,2023-01-08,"Istanbul, Turkey",Hotel Only,Multi-City,1,16,Phone,543.65,Confirmed
BK202301085834,TRVL000083,2023-01-08,"New York, USA",Complete Package,One Way,2,10,Phone,4977.34,Confirmed
BK202301088995,TRVL000282,2023-01-08,"New York, USA",Complete Package,One Way,3,21,Website,11854.9,Confirmed
BK202301084618,TRVL000178,2023-01-08,"Paris, France",Cruise,Round Trip,1,11,Travel Agent,8582.87,Confirmed
BK202301094249,TRVL000059,2023-01-09,"Rome, Italy",Cruise,Multi-City,3,12,Phone,33504.2,Confirmed
BK202301093115,TRVL000555,2023-01-09,Switzerland,Complete Package,Multi-City,4,13,Travel Agent,20765.87,Confirmed
BK202301095254,TRVL000440,2023-01-09,"Paris, France",Complete Package,Multi-City,2,10,Mobile App,10000.45,Confirmed
BK202301097659,TRVL001988,2023-01-09,"Barcelona, Spain",Flight + Hotel,Multi-City,4,13,Mobile App,7259.61,Confirmed
BK202301097553,TRVL000334,2023-01-09,"Copenhagen, Denmark",Cruise,Multi-City,1,15,Email,6722.84,Confirmed
BK202301094260,TRVL001173,2023-01-09,"Copenhagen, Denmark",Cruise,Multi-City,4,17,Email,20146.18,Confirmed
BK202301091549,TRVL000038,2023-01-09,"Sydney, Australia",Hotel Only,One Way,3,13,Email,2269.82,Confirmed
BK202301095625,TRVL000088,2023-01-09,"Prague, Czech Republic",Complete Package,Round Trip,2,7,Email,6273.57,Confirmed
BK202301093977,TRVL001425,2023-01-09,Maldives,Flight + Hotel,One Way,1,18,Travel Agent,2963.67,Confirmed
BK202301091894,TRVL000288,2023-01-09,"Santorini, Greece",Hotel Only,One Way,2,8,Travel Agent,280.84,Confirmed
BK202301099399,TRVL000024,2023-01-09,"Miami, USA",Flight Only,Round Trip,1,0,Travel Agent,1360.21,Confirmed
BK202301093849,TRVL000863,2023-01-09,"Rome, Italy",Complete Package,Multi-City,3,7,Phone,16907.29,Confirmed
BK202301097750,TRVL001707,2023-01-09,"Copenhagen, Denmark",Flight Only,Round Trip,2,0,Phone,421.23,Confirmed
BK202301092056,TRVL001081,2023-01-09,"Sydney, Australia",Cruise,One Way,2,10,Mobile App,17329.57,Confirmed
BK202301092289,TRVL000321,2023-01-09,"Santorini, Greece",Cruise,Round Trip,3,19,Phone,19080.39,Confirmed
BK202301096818,TRVL001614,2023-01-09,"Dubai, UAE",Complete Package,One Way,5,19,Mobile App,33862.51,Confirmed
BK202301096901,TRVL000872,2023-01-09,"New York, USA",Flight + Hotel,Round Trip,2,11,Website,4849.36,Confirmed
BK202301098119,TRVL000092,2023-01-09,"Los Angeles, USA",Flight + Hotel,Round Trip,3,9,Mobile App,4085.23,Confirmed
BK202301099303,TRVL001075,2023-01-09,"Miami, USA",Cruise,One Way,1,6,Phone,4738.15,Confirmed
BK202301098716,TRVL000033,2023-01-09,"Bangkok, Thailand",Hotel Only,Round Trip,1,12,Website,480.27,Confirmed
BK202301094247,TRVL000516,2023-01-09,"Phuket, Thailand",Flight + Hotel,One Way,2,7,Website,2642.45,Confirmed
BK202301094213,TRVL000446,2023-01-09,"Tokyo, Japan",Flight + Hotel,Round Trip,2,16,Email,2132.32,Confirmed
BK202301093638,TRVL000567,2023-01-09,"Paris, France",Cruise,Multi-City,2,12,Phone,21783.47,Confirmed
BK202301092581,TRVL001327,2023-01-09,"Paris, France",Flight + Hotel,Multi-City,2,20,Mobile App,1148.25,Confirmed
BK202301098588,TRVL000011,2023-01-09,"New York, USA",Complete Package,Round Trip,2,19,Phone,5757.44,Confirmed
BK202301092865,TRVL000197,2023-01-09,"New York, USA",Cruise,One Way,2,9,Mobile App,6542.47,Confirmed
BK202301099909,TRVL001102,2023-01-09,"Barcelona, Spain",Hotel Only,Round Trip,2,17,Email,422.32,Confirmed
BK202301093522,TRVL000419,2023-01-09,"Cancun, Mexico",Complete Package,Multi-City,2,7,Phone,10594.19,Confirmed
BK202301094730,TRVL000809,2023-01-09,"Sydney, Australia",Cruise,Multi-City,4,7,Website,40616.27,Confirmed
BK202301099150,TRVL000523,2023-01-09,"Prague, Czech Republic",Flight Only,Round Trip,4,0,Website,1233.28,Confirmed
BK202301107435,TRVL000001,2023-01-10,Switzerland,Cruise,Round Trip,1,4,Email,11620.68,Confirmed
BK202301106532,TRVL001512,2023-01-10,Iceland,Hotel Only,Round Trip,1,5,Email,733.92,Confirmed
BK202301107503,TRVL000010,2023-01-10,"Santorini, Greece",Flight + Hotel,Round Trip,2,13,Website,2205.32,Confirmed
BK202301108161,TRVL000771,2023-01-10,"Rome, Italy",Flight Only,Multi-City,1,0,Phone,702.24,Confirmed
BK202301109563,TRVL000001,2023-01-10,"Rome, Italy",Flight Only,Round Trip,1,0,Phone,1674.05,Confirmed
BK202301109769,TRVL000001,2023-01-10,"New York, USA",Complete Package,One Way,2,5,Email,13140.38,Confirmed
BK202301104857,TRVL000112,2023-01-10,"Istanbul, Turkey",Hotel Only,One Way,1,6,Travel Agent,206.91,Confirmed
BK202301109063,TRVL000077,2023-01-10,"Istanbul, Turkey",Flight Only,One Way,2,0,Travel Agent,1350.26,Confirmed
BK202301108760,TRVL001814,2023-01-10,"Bali, Indonesia",Flight + Hotel,Multi-City,1,16,Email,1325.92,Confirmed
BK202301104129,TRVL000260,2023-01-10,"London, UK",Hotel Only,One Way,1,3,Website,287.91,Confirmed
BK202301103281,TRVL000735,2023-01-10,"London, UK",Flight + Hotel,Multi-City,2,16,Travel Agent,4608.23,Confirmed
BK202301101430,TRVL000023,2023-01-10,"London, UK",Flight + Hotel,Multi-City,5,12,Email,3557.73,Confirmed
BK202301102931,TRVL000617,2023-01-10,"Bangkok, Thailand",Cruise,One Way,3,4,Mobile App,16172.08,Confirmed
BK202301105135,TRVL001503,2023-01-10,"Istanbul, Turkey",Hotel Only,One Way,4,10,Email,1776.01,Confirmed
